date,quarter,report_period_end,effective_date,canonical_stock_id,ticker,stock_code,stock_name,institution_id,institution_type,institution_code,institution_short_name,institution_full_name,holding_shares_10k,holding_ratio,float_holding_ratio,source,record_status
2018-04-30,20181,2018-03-31,2018-04-27,CMIN-CN:000786.SZ,000786.SZ,000786,北新建材,SINA:340008,基金,340008,兴全有机增长混合,兴全有机增长混合,1292.6698,0.72,0.91,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-27,CMIN-CN:000786.SZ,000786.SZ,000786,北新建材,SINA:70010101,全国社保,70010101,全国社保基金一零一组合,全国社保基金一零一组合,4638.2933,2.59,3.28,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-28,CMIN-CN:000858.SZ,000858.SZ,000858,五粮液,SINA:110022,基金,110022,易方达消费行业股票,易方达消费行业股票,2442.0329,0.64,0.64,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-28,CMIN-CN:000858.SZ,000858.SZ,000858,五粮液,SINA:163417,基金,163417,兴全合宜混合A,兴全合宜混合A,1677.5629,0.44,0.44,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-28,CMIN-CN:000858.SZ,000858.SZ,000858,五粮液,SINA:70304274,QFII,70304274,澳门金融管理局－自有资金,澳门金融管理局－自有资金,1592.3984,0.42,0.42,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-28,CMIN-CN:000858.SZ,000858.SZ,000858,五粮液,SINA:80044863,QFII,80044863,UBS AG,UBS AG,1646.1177,0.43,0.43,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-28,CMIN-CN:000876.SZ,000876.SZ,000876,新希望,SINA:70010103,全国社保,70010103,全国社保基金一零三组合,全国社保基金一零三组合,4499.8278,1.07,1.08,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:000895.SZ,000895.SZ,000895,双汇发展,SINA:166024,基金,166024,中欧恒利三年定期开放混合,中欧恒利三年定期开放混合,1622.5851,0.49,0.49,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:000895.SZ,000895.SZ,000895,双汇发展,SINA:70010101,全国社保,70010101,全国社保基金一零一组合,全国社保基金一零一组合,1642.4425,0.5,0.5,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:000895.SZ,000895.SZ,000895,双汇发展,SINA:70010103,全国社保,70010103,全国社保基金一零三组合,全国社保基金一零三组合,1800.0735,0.55,0.55,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:000895.SZ,000895.SZ,000895,双汇发展,SINA:80067515,QFII,80067515,GIC PRIVATE LIMITED,GIC PRIVATE LIMITED,1626.2371,0.49,0.49,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:000963.SZ,000963.SZ,000963,华东医药,SINA:70010102,全国社保,70010102,全国社保基金一零二组合,全国社保基金一零二组合,1214.926,1.25,1.4,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:000963.SZ,000963.SZ,000963,华东医药,SINA:70010106,全国社保,70010106,全国社保基金一零六组合,全国社保基金一零六组合,1430.0704,1.47,1.65,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:000963.SZ,000963.SZ,000963,华东医药,SINA:70010406,全国社保,70010406,全国社保基金四零六组合,全国社保基金四零六组合,1311.3584,1.35,1.51,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:000963.SZ,000963.SZ,000963,华东医药,SINA:70304274,QFII,70304274,澳门金融管理局－自有资金,澳门金融管理局－自有资金,550.0551,0.57,0.63,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-28,CMIN-CN:000977.SZ,000977.SZ,000977,浪潮信息,SINA:000404,基金,000404,易方达新兴成长混合,易方达新兴成长混合,768.2267,0.6,0.6,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-28,CMIN-CN:000977.SZ,000977.SZ,000977,浪潮信息,SINA:320006,基金,320006,诺安灵活配置混合,诺安灵活配置混合,680,0.53,0.53,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-28,CMIN-CN:000977.SZ,000977.SZ,000977,浪潮信息,SINA:70010502,全国社保,70010502,全国社保基金五零二组合,全国社保基金五零二组合,424.1781,0.33,0.33,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-24,CMIN-CN:001979.SZ,001979.SZ,001979,招商蛇口,SINA:70010105,全国社保,70010105,全国社保基金一零五组合,全国社保基金一零五组合,2085.7097,0.26,1.1,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-24,CMIN-CN:001979.SZ,001979.SZ,001979,招商蛇口,SINA:70010108,全国社保,70010108,全国社保基金一零八组合,全国社保基金一零八组合,5780,0.73,3.04,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-24,CMIN-CN:001979.SZ,001979.SZ,001979,招商蛇口,SINA:70010116,全国社保,70010116,全国社保基金一一六组合,全国社保基金一一六组合,2479.6919,0.31,1.3,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-24,CMIN-CN:001979.SZ,001979.SZ,001979,招商蛇口,SINA:70010118,全国社保,70010118,全国社保基金一一八组合,全国社保基金一一八组合,2654.7165,0.34,1.4,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-28,CMIN-CN:002001.SZ,002001.SZ,002001,新和成,SINA:161005,基金,161005,富国天惠成长混合(LOF)A/B,富国天惠成长混合(LOF)A/B,333.265,0.26,0.31,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-28,CMIN-CN:002001.SZ,002001.SZ,002001,新和成,SINA:70010113,全国社保,70010113,全国社保基金一一三组合,全国社保基金一一三组合,1365.8369,1.08,1.25,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-28,CMIN-CN:002001.SZ,002001.SZ,002001,新和成,SINA:70010412,全国社保,70010412,全国社保基金四一二组合,全国社保基金四一二组合,476.5025,0.38,0.44,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-27,CMIN-CN:002007.SZ,002007.SZ,002007,华兰生物,SINA:001373,基金,001373,易方达新丝路混合,易方达新丝路混合,1567.9856,1.69,1.69,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-27,CMIN-CN:002007.SZ,002007.SZ,002007,华兰生物,SINA:110003,基金,110003,易方达上证50增强A,易方达上证50增强A,851.9299,0.92,0.92,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-27,CMIN-CN:002007.SZ,002007.SZ,002007,华兰生物,SINA:11001L,基金,11001L,易方达中小盘混合,易方达中小盘混合,1030.007,1.11,1.11,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-24,CMIN-CN:002008.SZ,002008.SZ,002008,大族激光,SINA:340007,基金,340007,兴全社会责任混合,兴全社会责任混合,999.6229,0.94,0.94,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-24,CMIN-CN:002008.SZ,002008.SZ,002008,大族激光,SINA:70010112,全国社保,70010112,全国社保基金一一二组合,全国社保基金一一二组合,1128.2885,1.06,1.06,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-24,CMIN-CN:002008.SZ,002008.SZ,002008,大族激光,SINA:80044865,QFII,80044865,DEUTSCHE BANK AKTIENGESELLSCHA...,DEUTSCHE BANK AKTIENGESELLSCHAFT,2054.5495,1.93,1.93,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-28,CMIN-CN:002024.SZ,002024.SZ,002024,苏宁易购,SINA:70010111,全国社保,70010111,全国社保基金一一一组合,全国社保基金一一一组合,4526.7588,0.49,0.88,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:002027.SZ,002027.SZ,002027,分众传媒,SINA:160505,基金,160505,博时主题行业混合,博时主题行业混合,7200,0.59,1.24,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:002027.SZ,002027.SZ,002027,分众传媒,SINA:70010111,全国社保,70010111,全国社保基金一一一组合,全国社保基金一一一组合,4856.9287,0.4,0.84,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:002027.SZ,002027.SZ,002027,分众传媒,SINA:70010413,全国社保,70010413,全国社保基金四一三组合,全国社保基金四一三组合,7063.242,0.58,1.22,Sina Finance via AKShare,monthly_asof_institution_holding
