date,src_institution_id,src_institution_name,dst_ticker,dst_canonical_stock_id,relation_type,holding_ratio,float_holding_ratio,edge_weight,quarter,report_period_end,effective_date,source,record_status
2018-04-30,SINA:160910,大成创新成长混合(LOF)A,002032.SZ,CMIN-CN:002032.SZ,institution_holds_stock,0.32,0.48,0.32,20181,2018-03-31,2018-04-24,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70303938,法国巴黎银行－自有资金,002032.SZ,CMIN-CN:002032.SZ,institution_holds_stock,0.86,1.3,0.86,20181,2018-03-31,2018-04-24,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70304252,富达基金(香港)有限公司－客户资金,002032.SZ,CMIN-CN:002032.SZ,institution_holds_stock,1.83,2.75,1.83,20181,2018-03-31,2018-04-24,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:80044865,DEUTSCHE BANK AKTIENGESELLSCHAFT,002032.SZ,CMIN-CN:002032.SZ,institution_holds_stock,0.69,1.04,0.69,20181,2018-03-31,2018-04-24,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:001417,汇添富医疗服务灵活配置混合A,002044.SZ,CMIN-CN:002044.SZ,institution_holds_stock,0.78,1.91,0.78,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010104,全国社保基金一零四组合,002044.SZ,CMIN-CN:002044.SZ,institution_holds_stock,1.97,4.81,1.97,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010117,全国社保基金一一七组合,002044.SZ,CMIN-CN:002044.SZ,institution_holds_stock,2.23,5.46,2.23,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010118,全国社保基金一一八组合,002044.SZ,CMIN-CN:002044.SZ,institution_holds_stock,2.71,6.63,2.71,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:161024,富国中证军工指数A,002049.SZ,CMIN-CN:002049.SZ,institution_holds_stock,1.29,1.29,1.29,20181,2018-03-31,2018-04-21,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010105,全国社保基金一零五组合,002049.SZ,CMIN-CN:002049.SZ,institution_holds_stock,0.71,0.71,0.71,20181,2018-03-31,2018-04-21,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:020001,国泰金鹰增长灵活配置混合,002050.SZ,CMIN-CN:002050.SZ,institution_holds_stock,0.58,0.78,0.58,20181,2018-03-31,2018-04-26,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010112,全国社保基金一一二组合,002050.SZ,CMIN-CN:002050.SZ,institution_holds_stock,0.59,0.79,0.59,20181,2018-03-31,2018-04-26,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010113,全国社保基金一一三组合,002050.SZ,CMIN-CN:002050.SZ,institution_holds_stock,0.71,0.94,0.71,20181,2018-03-31,2018-04-26,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010116,全国社保基金一一六组合,002050.SZ,CMIN-CN:002050.SZ,institution_holds_stock,0.5,0.67,0.5,20181,2018-03-31,2018-04-26,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010414,全国社保基金四一四组合,002050.SZ,CMIN-CN:002050.SZ,institution_holds_stock,0.47,0.63,0.47,20181,2018-03-31,2018-04-26,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:80044863,UBS AG,002050.SZ,CMIN-CN:002050.SZ,institution_holds_stock,0.51,0.68,0.51,20181,2018-03-31,2018-04-26,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:001048,富国新兴产业股票A,002120.SZ,CMIN-CN:002120.SZ,institution_holds_stock,0.44,2.99,0.44,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:100056,富国低碳环保混合,002120.SZ,CMIN-CN:002120.SZ,institution_holds_stock,1.09,7.35,1.09,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:519692,交银成长混合A,002120.SZ,CMIN-CN:002120.SZ,institution_holds_stock,0.28,1.86,0.28,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70304317,KB资产运用－KB中国大陆基金,002120.SZ,CMIN-CN:002120.SZ,institution_holds_stock,0.15,0.99,0.15,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
