date,src_ticker,dst_ticker,relation_type,shared_etf_ticker,shared_theme,shared_concept_count,edge_weight,source,record_status
2020-11-30,AAPL,TSLA,same_theme_etf_holding,ARKQ | ARKW,Internet | Robotics,2,0.083118213986,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,ABT,DHR,same_theme_etf_holding,IHI,Healthcare Innovation,1,0.107166817468,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,ABT,TMO,same_theme_etf_holding,IHI,Healthcare Innovation,1,0.132759307963,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,ACN,CSCO,same_theme_etf_holding,CIBR,Cybersecurity,1,0.0588044883659,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,ADBE,AMZN,same_theme_etf_holding,ARKW | PNQI | SKYY,Cloud Computing | Internet,3,0.123262276115,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,ADBE,BABA,same_theme_etf_holding,ARKW | PNQI | SKYY,Cloud Computing | Internet,3,0.118806215304,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,ADBE,CSCO,same_theme_etf_holding,SKYY,Cloud Computing,1,0.0209743702364,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,ADBE,FB,same_theme_etf_holding,ARKW | PNQI,Internet,2,0.0917577747297,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,ADBE,GOOG,same_theme_etf_holding,PNQI | SKYY,Cloud Computing | Internet,2,0.098161178,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,ADBE,JD,same_theme_etf_holding,PNQI,Internet,1,0.0462552664182,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,ADBE,MSFT,same_theme_etf_holding,IGV | SKYY,Cloud Computing,2,0.103732481614,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,ADBE,NFLX,same_theme_etf_holding,ARKW | PNQI,Internet,2,0.0673293188238,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,ADBE,NVDA,same_theme_etf_holding,ARKW,Internet,1,0.00967796367842,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,ADBE,ORCL,same_theme_etf_holding,IGV | SKYY,Cloud Computing,2,0.0972929380882,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,ADBE,PYPL,same_theme_etf_holding,ARKW,Internet,1,0.0101898703381,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,ADBE,SNAP,same_theme_etf_holding,ARKW | IGV | PNQI,Cloud Computing | Internet,3,0.0797028234157,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,ADBE,TSLA,same_theme_etf_holding,ARKW,Internet,1,0.0300447091075,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AMZN,BABA,same_theme_etf_holding,ARKW | PNQI | SKYY,Cloud Computing | Internet,3,0.142184746163,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AMZN,CAT,same_theme_etf_holding,ARKQ,Robotics,1,0.0230399394059,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AMZN,CSCO,same_theme_etf_holding,FDN | SKYY,Cloud Computing | Internet,2,0.0924842779867,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AMZN,DE,same_theme_etf_holding,ARKQ,Robotics,1,0.0247425953932,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AMZN,FB,same_theme_etf_holding,ARKW | FDN | PNQI,Internet,3,0.186356311893,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AMZN,GOOG,same_theme_etf_holding,ARKQ | FDN | PNQI | SKYY,Cloud Computing | Internet | Robotics,4,0.224417943976,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AMZN,JD,same_theme_etf_holding,ARKQ | PNQI,Internet | Robotics,2,0.0738230787803,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AMZN,MSFT,same_theme_etf_holding,SKYY,Cloud Computing,1,0.0354959753215,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AMZN,NFLX,same_theme_etf_holding,ARKW | FDN | PNQI,Internet,3,0.146443431817,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AMZN,NVDA,same_theme_etf_holding,ARKQ | ARKW,Internet | Robotics,2,0.032580897768,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AMZN,ORCL,same_theme_etf_holding,SKYY,Cloud Computing,1,0.0375443750138,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AMZN,PYPL,same_theme_etf_holding,ARKW | FDN,Internet,2,0.0853355399305,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AMZN,SNAP,same_theme_etf_holding,ARKW | FDN | PNQI,Internet,3,0.105692328982,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AMZN,TSLA,same_theme_etf_holding,ARKQ | ARKW,Internet | Robotics,2,0.0920118491988,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
