date,canonical_stock_id,ticker,stock_code,stock_name,exchange,classification_standard,classification_version,industry_category,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_code,change_date,source,record_status
2019-10-31,CMIN-CN:300450.SZ,300450.SZ,300450,先导智能,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601788.SH,601788.SH,601788,光大证券,SH,申银万国行业分类标准,SW2014,非银金融,非银金融,证券Ⅱ,证券Ⅲ,证券Ⅲ,S490101,2009-07-28,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:601818.SH,601818.SH,601818,光大银行,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:603195.SH,603195.SH,603195,公牛集团,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601377.SH,601377.SH,601377,兴业证券,SH,申银万国行业分类标准,SW2014,非银金融,非银金融,证券Ⅱ,证券Ⅲ,证券Ⅲ,S490101,2010-09-20,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:601166.SH,601166.SH,601166,兴业银行,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601288.SH,601288.SH,601288,农业银行,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:002821.SZ,002821.SZ,002821,凯莱英,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:002027.SZ,002027.SZ,002027,分众传媒,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:600010.SH,600010.SH,600010,包钢股份,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601169.SH,601169.SH,601169,北京银行,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:000786.SZ,000786.SZ,000786,北新建材,SZ,申银万国行业分类标准,SW2014,建筑材料,建筑材料,装修建材,其他建材,其他建材,S610303,2008-06-02,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:002371.SZ,002371.SZ,002371,北方华创,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:600111.SH,600111.SH,600111,北方稀土,SH,申银万国行业分类标准,SW2014,有色金属,有色金属,小金属,稀土,稀土,S240501,2014-01-01,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:000963.SZ,000963.SZ,000963,华东医药,SZ,申银万国行业分类标准,SW2014,医药生物,医药生物,化学制药,化学制剂,化学制剂,S370102,2019-07-08,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:000069.SZ,000069.SZ,000069,华侨城A,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:002007.SZ,002007.SZ,002007,华兰生物,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:603799.SH,603799.SH,603799,华友钴业,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:600741.SH,600741.SH,600741,华域汽车,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:600015.SH,600015.SH,600015,华夏银行,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
